CountyCode,CountyName,DistrictCode,DistrictName,SchoolCode,SchoolName,GradeSpan,ADDRESS,CITY_STATE_ZIP,PHONE,ENROLLMENT,ASIAN_PERCENT,ELA_PROFICIENCY,MATH_PROFICIENCY
3,Bergen,740,Carlstadt Public School District,50,Carlstadt Public School,PK-08,550 Washington Street,Carlstadt NJ 07072,201-672-3000,494,10.6,57.7,47.6
3,Bergen,745,Carlstadt-East Rutherford Regional High School District,50,Henry P. Becton Regional High School,09-12,120 Paterson Avenue,East Rutherford NJ 07073,201-935-3007,824,10.0,62.4,26.6
3,Bergen,890,Cliffside Park School District,30,Cliffside Park High School,09-12,64 Riverview Avenue,Cliffside Park NJ 07010,201-313-2370,1281,1.6,42.0,19.9
3,Bergen,890,Cliffside Park School District,50,School #3,KG-04,397 Palisade Avenue,Cliffside Park NJ 07010,201-313-2330,356,1.1,60.0,54.5
3,Bergen,890,Cliffside Park School District,60,School #4,KG-05,279 Columbia Avenue,Cliffside Park NJ 07010,201-313-2340,487,7.6,59.8,53.4
3,Bergen,890,Cliffside Park School District,70,School #5,PK-04,214 Day Ave,Cliffside Park NJ 07010,201-313-2350,310,3.9,69.5,54.1
3,Bergen,890,Cliffside Park School District,80,School #6/Middle School,05-08,440 Oakdene Ave,Cliffside Park NJ 07010,201-313-2360,686,4.2,57.3,30.1
3,Bergen,930,Closter Public School District,50,Hillside Elementary School,PK-04,340 Homans Avenue,Closter NJ 07624-2907,201-768-3860,629,42.0,72.9,69.2
3,Bergen,930,Closter Public School District,60,Tenakill Middle School,05-08,275 High Street,Closter NJ 07624-1809,201-768-1332,569,41.3,83.2,69.8
3,Bergen,990,Cresskill Public School District,40,Cresskill High School,09-12,1 Lincoln Drive,Cresskill NJ 07626,201-227-7791,479,28.4,80.2,50.0
3,Bergen,990,Cresskill Public School District,45,Cresskill Middle School,06-08,1 Lincoln Drive,Cresskill NJ 07626,201-227-7791,417,37.6,63.9,55.3
3,Bergen,990,Cresskill Public School District,50,Edward H. Bryan,PK-05,51 Brookside Ave,Cresskill NJ 07626,201-227-7791,562,38.4,76.3,79.6
3,Bergen,990,Cresskill Public School District,60,Merritt Memorial,01-05,1 Dogwood Lane,Cresskill NJ 07626,201-227-7791,279,33.7,74.1,69.8
3,Bergen,1070,Demarest School District,30,County Road School,PK-01,130 County Rd,Demarest NJ 07627-2431,201-768-6060,209,33.5,,
3,Bergen,1070,Demarest School District,40,Demarest Middle School,05-08,568 Piermont Rd,Demarest NJ 07627-1617,201-768-6060,352,33.0,79.5,74.9
3,Bergen,1070,Demarest School District,50,Luther Lee Emerson School,02-04,15 Columbus Road,Demarest NJ 07627,201-768-6060,232,39.2,76.8,77.1
3,Bergen,1130,Dumont Public School District,40,Dumont High School,09-12,101 New Milford Ave,Dumont NJ 07628-2913,201-387-3000,767,13.7,74.7,46.4
3,Bergen,1130,Dumont Public School District,50,Grant Elementary School,KG-05,100 Grant Ave,Dumont NJ 07628-1650,201-387-3050,458,17.2,67.0,66.5
3,Bergen,1130,Dumont Public School District,60,Honiss Elementary\Middle School,KG-08,31 Depew St,Dumont NJ 07628-3601,201-387-3020,623,15.9,62.7,55.8
3,Bergen,1130,Dumont Public School District,70,Lincoln Elementary School,KG-05,80 Prospect Ave,Dumont NJ 07628-2736,201-387-3040,174,17.8,64.9,52.6
3,Bergen,1130,Dumont Public School District,80,Selzer Elementary\Middle School,PK-08,435 Prospect Ave,Dumont NJ 07628-1417,201-387-3030,517,14.3,63.1,49.1
3,Bergen,1230,East Rutherford School District,40,Alfred S. Faust Middle School,06-08,100 Uhland Street,East Rutherford NJ 07073,201-804-3100,238,12.6,72.1,42.7
3,Bergen,1230,East Rutherford School District,300,Lincoln School,04-05,258 Grove Street,East Rutherford NJ 07073,201-636-7340,152,11.8,66.4,49.0
3,Bergen,1230,East Rutherford School District,80,McKenzie School,PK-03,125 Carlton Avenue,East Rutherford NJ 07073,201-531-1235,373,13.9,42.0,46.6
3,Bergen,1270,Edgewater School District,50,Eleanor Van Gelder,03-06,251 Undercliff Ave,Edgewater NJ 07020-1112,201-945-4106,369,36.9,66.9,57.6
3,Bergen,1270,Edgewater School District,300,George Washington School,PK-02,801 Undercliff Ave,Edgewater NJ 07020,201-945-4106,325,46.9,,
3,Bergen,1345,Elmwood Park School District,70,Gantner Avenue School,KG-05,99 Roosevelt Ave,Elmwood Park NJ 07407-1152,201-796-8700,343,10.5,54.1,35.6
3,Bergen,1345,Elmwood Park School District,80,Gilbert Avenue School,PK-05,151 Gilbert Avenue,Elmwood Park NJ 07407,201-796-8700,445,6.3,40.9,43.7
3,Bergen,1345,Elmwood Park School District,60,Memorial Middle School,06-08,375 River Drive,Elmwood Park NJ 07407-1622,201-796-8700,581,6.7,49.4,15.3
3,Bergen,1345,Elmwood Park School District,50,Memorial Senior High School,09-12,375 River Dr,Elmwood Park NJ 07407-1622,201-796-8700,801,8.4,51.9,18.9
3,Bergen,1345,Elmwood Park School District,90,Sixteenth Avenue School,PK-05,73 Sixteenth Avenue,Elmwood Park NJ 07407-2925,201-796-8700,428,9.3,46.2,29.4
3,Bergen,1360,Emerson Public School District,50,Emerson Jr Sr High,07-12,131 Main Street,Emerson NJ 07630,201-262-4447,446,7.8,59.5,54.5
3,Bergen,1360,Emerson Public School District,70,Memorial School,PK-03,1 Haines Avenue,Emerson NJ 07630,201-599-7580,374,8.8,43.4,43.4
3,Bergen,1360,Emerson Public School District,60,Patrick M Villano School,04-06,175 Linwood Avenue,Emerson NJ 07630-1847,201-262-4049,240,8.3,63.2,65.0
3,Bergen,1380,Englewood Cliffs School District,40,North Cliff School,PK-02,700 Floyd St,Englewood Cliffs NJ 07632,201-568-4770,155,62.6,,
3,Bergen,1380,Englewood Cliffs School District,60,Upper School,03-08,143 Charlotte Pl,Englewood Cliffs NJ 07632,201-567-7292,271,59.8,87.5,82.3
3,Bergen,1370,Englewood Public School District,70,Donald A. Quarles Early Childhood Center,PK-KG,186 Davison Place,Englewood NJ 07631,201-862-6113,443,1.4,,
3,Bergen,1370,Englewood Public School District,86,Dr. John Grieco Elementary School,01-02,50 Durie Ave,Englewood NJ 07631,201-862-6164,360,0.8,,
3,Bergen,1370,Englewood Public School District,60,Dr. Leroy McCloud Elementary School,03-05,325 Tenafly Rd,Englewood NJ 07631-1742,201-862-6155,490,0.8,35.3,25.3
3,Bergen,1370,Englewood Public School District,40,Dwight Morrow High School/Academies@Englewood,09-12,274 Knickerbocker Rd,Englewood NJ 07631-1534,201-862-6039,1058,16.4,57.9,20.9
3,Bergen,1370,Englewood Public School District,76,Janis E. Dismus Middle School,06-08,325 Tryon Avenue,Englewood NJ 07631,201-862-6005,527,2.1,42.3,15.5
80,Bergen,6430,Englewood on the Palisades Charter School,930,Englewood on the Palisades Charter School,KG-08,65  West Demarest Avenue,Englewood NJ 07631,201-569-9765,313,7.3,49.5,30.4
3,Bergen,1450,Fair Lawn Public School District,50,Fair Lawn High School,09-12,14  00 Berdan Avenue,Fair Lawn NJ 07410,201-794-5450,1648,14.2,74.8,60.2
3,Bergen,1450,Fair Lawn Public School District,80,Henry B. Milnes Elementary School,KG-04,8-01 Phillip St,Fair Lawn NJ 07410,201-794-5550,392,23.2,72.3,76.3
3,Bergen,1450,Fair Lawn Public School District,85,John A. Forrest Elementary School,KG-04,10 - 00 Hopper Ave,Fair Lawn NJ 07410-1815,201-794-5565,268,16.4,56.4,56.4
3,Bergen,1450,Fair Lawn Public School District,100,Lyncrest Elementary School,KG-04,9-04 Morlot Ave,Fair Lawn NJ 07410,201-794-5555,198,13.6,72.3,76.2
3,Bergen,1450,Fair Lawn Public School District,70,Memorial Middle School,05-08,12 - 00 First Street,Fair Lawn NJ 07410,201-794-5470,648,17.6,70.5,57.0
3,Bergen,1450,Fair Lawn Public School District,110,Radburn Elementary School,KG-04,18-00 Radburn Rd,Fair Lawn NJ 07410,201-794-5480,429,17.0,86.9,87.6
3,Bergen,1450,Fair Lawn Public School District,60,Thomas Jefferson Middle School,05-08,35 - 01 Morlot Avenue,Fair Lawn NJ 07410-4919,201-703-2240,1145,18.7,78.6,66.6
3,Bergen,1450,Fair Lawn Public School District,140,Warren Point Elementary School,KG-04,30-07 Broadway,Fair Lawn NJ 07410-3918,201-794-5571,404,18.6,76.6,75.8
3,Bergen,1450,Fair Lawn Public School District,160,Westmoreland Elementary School,PK-04,16-50 Parmelee Ave.,Fair Lawn NJ 07410,201-794-5490,421,15.5,71.4,67.4
3,Bergen,1470,Fairview Public School District,60,Lincoln School,04-08,140 Anderson  Avenue,Fairview NJ 07022,201-943-0560,641,0.6,18.0,15.1
3,Bergen,1470,Fairview Public School District,65,Lincoln School Annex,PK-KG,130 Hamilton Avenue,Fairview NJ 07022,201-943-0564,255,0.4,,
3,Bergen,1470,Fairview Public School District,80,Number Three School,PK-04,403 Cliff Street,Fairview NJ 07022,201-943-0563,668,0.0,17.1,17.7
3,Bergen,1550,Fort Lee School District,50,Fort Lee High School,09-12,3000 Lemoine Ave,Fort Lee NJ 07024,201-585-4675,1166,40.8,72.4,34.1
3,Bergen,1550,Fort Lee School District,100,Lewis F. Cole Middle School,05-08,467 Stillwell Avenue,Fort Lee NJ 07024-2140,201-585-4660,1206,45.4,74.1,66.4
3,Bergen,1550,Fort Lee School District,60,School No. 1,KG-04,250 Hoym Street,Fort Lee NJ 07024,201-585-4620,567,61.0,74.4,78.5
3,Bergen,1550,Fort Lee School District,70,School No. 2,PK-04,2047 Jones Road,Fort Lee NJ 07024,201-585-4630,385,49.4,66.1,70.9
3,Bergen,1550,Fort Lee School District,80,School No. 3,PK-04,2405 Second Street,Fort Lee NJ 07024,201-585-4640,355,53.2,67.8,68.0
3,Bergen,1550,Fort Lee School District,90,School No. 4,KG-04,1193 Anderson Ave,Fort Lee NJ 07024-1761,201-585-4650,396,37.6,63.6,60.6
3,Bergen,1580,Franklin Lakes School District,40,Colonial Road School,PK-05,749 Colonial Road,Franklin Lakes NJ 07417,201-337-0336,240,10.5,70.9,72.6
3,Bergen,1580,Franklin Lakes School District,15,Franklin Avenue Middle School,06-08,755 Franklin Avenue,Franklin Lakes NJ 07417,201-891-0202,379,8.7,71.3,59.3
3,Bergen,1580,Franklin Lakes School District,20,High Mountain Road School,PK-05,765 High Mountain Road,Franklin Lakes NJ 07417-2914,201-891-4433,298,7.0,73.0,77.9
3,Bergen,1580,Franklin Lakes School District,30,Woodside Avenue School,KG-05,305 Woodside Avenue,Franklin Lakes NJ 07417-2030,201-891-5600,282,5.5,70.7,71.4
3,Bergen,1700,Garfield Public School District,80,Abraham Lincoln School #6,PK-05,111 Palisade Ave,Garfield NJ 07026,973-340-5036,378,1.3,37.2,21.1
3,Bergen,1700,Garfield Public School District,60,Christopher Columbus School #8,PK-05,147 Cedar Street,Garfield NJ 07026,973-340-5038,394,0.8,53.7,40.4
3,Bergen,1700,Garfield Public School District,40,Garfield Early Childhood Learning Center,PK-PK,241 Ray Street,Garfield NJ 07026,973-253-6615,219,3.2,,
3,Bergen,1700,Garfield Public School District,50,Garfield High School,09-12,500 Palisade Ave,Garfield NJ 07026-2637,973-340-5010,1256,1.1,43.9,11.3
3,Bergen,1700,Garfield Public School District,70,Garfield Middle School,06-08,175 Lanza Ave,Garfield NJ 07026,973-272-7020,946,0.4,44.0,24.5
3,Bergen,1700,Garfield Public School District,302,Garfield Public Preschool 3 at Headstart,PK-PK,541 Midland Ave,Garfield NJ 07026,973-772-0016,100,2.0,,
3,Bergen,1700,Garfield Public School District,86,Garfield Public Preschool Annex,PK-PK,464 Outwater Lane,Garfield NJ 07026,973-272-7470,137,3.6,,
3,Bergen,1700,Garfield Public School District,205,James Madison School #10,PK-05,55 Lincoln Place,Garfield NJ 07026,862-306-7190,288,2.1,74.6,66.9
3,Bergen,1700,Garfield Public School District,100,Roosevelt School #7,PK-05,225 Lincoln Pl,Garfield NJ 07026,973-340-5037,308,1.0,71.1,48.1
3,Bergen,1700,Garfield Public School District,300,Thomas Jefferson School #9,KG-05,62 Alpine Street,Garfield NJ 07026,973-340-5039,357,1.1,68.4,52.3
3,Bergen,1700,Garfield Public School District,120,Washington Irving School #4,PK-05,12 Madonna Place,Garfield NJ 07026,973-340-5034,413,1.2,59.1,59.9
3,Bergen,1760,Glen Rock Public School District,65,Alexander Hamilton School,KG-05,380 Harristown Road,Glen Rock NJ 07452,201-445-7700,309,33.3,86.4,91.0
3,Bergen,1760,Glen Rock Public School District,80,Central School,PK-05,600 S Maple Ave,Glen Rock NJ 07452-1821,201-445-7700,319,13.2,69.3,77.9
3,Bergen,1760,Glen Rock Public School District,90,Clara E Coleman School,PK-05,100 Pinelynn Rd,Glen Rock NJ 07452-3025,201-445-7700,342,23.7,74.9,79.5
3,Bergen,1760,Glen Rock Public School District,50,Glen Rock High School,09-12,400 Hamilton Avenue,Glen Rock NJ 07452-2328,201-445-7700,736,17.1,88.6,69.0
3,Bergen,1760,Glen Rock Public School District,60,Glen Rock Middle School,06-08,600 Harristown Road,Glen Rock NJ 07452,201-445-7700,615,24.4,76.9,69.3
3,Bergen,1760,Glen Rock Public School District,70,Richard E Byrd School,KG-05,640 Doremus Ave,Glen Rock NJ 07452-2033,201-445-7700,256,16.0,80.7,84.8
3,Bergen,1860,Hackensack School District,100,Fairmount,PK-04,105 Grand Avenue,Hackensack NJ 07601,201-646-7890,570,2.2,28.5,28.4
3,Bergen,1860,Hackensack School District,110,Fanny Meyer Hillers,PK-04,56 Longview Avenue,Hackensack NJ 07601,201-646-7870,504,9.8,40.1,39.2
3,Bergen,1860,Hackensack School District,50,Hackensack High School,09-12,First & Beech Streets,Hackensack NJ 07601,201-646-7900,1735,3.0,49.9,19.1
3,Bergen,1860,Hackensack School District,300,Hackensack Middle School,05-08,360 Union Street,Hackensack NJ 07601,201-646-7842,1430,3.7,35.1,17.4
3,Bergen,1860,Hackensack School District,120,Jackson Avenue,PK-04,421 Jackson Ave,Hackensack NJ 07601,201-646-7990,453,1.9,34.3,41.0
3,Bergen,1860,Hackensack School District,90,Nellie K. Parker,PK-04,261 Maple Hill Dr,Hackensack NJ 07601,201-646-8020,614,7.9,39.8,40.1
3,Bergen,2050,Harrington Park School District,50,Harrington Park School,PK-08,191 Harriot Ave,Harrington Park NJ 07640-1401,201-768-5700,627,31.7,71.1,73.5
3,Bergen,2080,Hasbrouck Heights School District,60,Euclid Elementary School,PK-05,1 Burton Avenue,Hasbrouck Heights NJ 07604,201-288-6150,369,12.7,78.7,63.2
3,Bergen,2080,Hasbrouck Heights School District,50,Hasbrouck Heights High School,09-12,365 Boulevard,Hasbrouck Heights NJ 07604-1402,201-288-6150,514,13.0,71.4,46.8
3,Bergen,2080,Hasbrouck Heights School District,55,Hasbrouck Heights Middle School,06-08,365 Boulevard,Hasbrouck Heights NJ 07604-1402,201-393-8170,398,9.8,63.0,50.8
3,Bergen,2080,Hasbrouck Heights School District,80,Lincoln Elementary School,PK-05,Burton & Paterson Aves,Hasbrouck Heights NJ 07604,201-288-6150,387,16.3,62.0,49.3
3,Bergen,2090,Haworth Public School District,50,Haworth Public School,PK-08,205 Valley Rd,Haworth NJ 07641-1218,201-384-5526,454,19.6,84.2,77.5
3,Bergen,2180,Hillsdale School District,10,Ann Blanche Smith,KG-04,1000 Hillsdale Ave,Hillsdale NJ 07642,201-664-1188,303,5.6,72.1,54.8
3,Bergen,2180,Hillsdale School District,20,George G White,05-08,120 Magnolia Ave,Hillsdale NJ 07642-2131,201-664-0286,491,11.6,73.6,67.8
3,Bergen,2180,Hillsdale School District,30,Meadowbrook,PK-04,50 Piermont Ave,Hillsdale NJ 07642,201-664-8088,344,6.7,90.0,74.6
3,Bergen,2200,Ho-Ho-Kus School District,50,Ho-Ho-Kus Public School,PK-08,70 Lloyd Road,Ho  Ho  Kus NJ 07423,201-652-4555,561,11.9,79.5,84.1
3,Bergen,2620,Leonia Public School District,60,Anna C. Scott Elementary School,PK-04,281 Broad Avenue,Leonia NJ 07605,201-302-5200,574,49.2,62.4,67.0
3,Bergen,2620,Leonia Public School District,50,Leonia High School,09-12,100 Christie Heights Street,Leonia NJ 07605-1525,201-302-5200,817,37.0,66.3,41.3
3,Bergen,2620,Leonia Public School District,55,Leonia Middle School,05-08,500 Broad Avenue,Leonia NJ 07605,201-302-5200,677,44.0,73.3,61.6
3,Bergen,2710,Little Ferry Public School District,30,Memorial Middle  School,05-08,130 Liberty St,Little Ferry NJ 07643-1756,201-641-6186,344,18.3,52.1,35.0
3,Bergen,2710,Little Ferry Public School District,50,Washington Elementary School,PK-04,130 A Liberty St,Little Ferry NJ 07643-1710,201-641-6760,490,17.3,49.4,47.1
3,Bergen,2740,Lodi School District,60,Columbus School,PK-05,370 Westervelt Place,Lodi NJ 07644,973-478-0514,255,6.5,66.4,52.7
3,Bergen,2740,Lodi School District,65,Hilltop School,PK-05,200 Kipp Avenue,Lodi NJ 07644,973-778-1213,326,7.0,63.6,49.0
3,Bergen,2740,Lodi School District,50,Lodi High School,09-12,99 Putnam Street,Lodi NJ 07644,973-478-6100,914,5.0,64.7,32.8
3,Bergen,2740,Lodi School District,80,Roosevelt School,PK-05,435 Passaic Avenue,Lodi NJ 07644,973-777-8511,158,0.0,70.3,56.0
3,Bergen,2740,Lodi School District,67,Thomas Jefferson Middle School,06-08,75 First Street,Lodi NJ 07644,973-478-8662,721,8.3,77.2,37.4
3,Bergen,2740,Lodi School District,90,Washington School,PK-05,310 N  Main Street,Lodi NJ 07644,973-777-8513,362,8.5,65.1,35.9
3,Bergen,2740,Lodi School District,100,Wilson School,PK-05,80 Union Street,Lodi NJ 07644,973-473-8189,355,5.0,77.2,52.8
3,Bergen,2860,Lyndhurst Public School District,60,Columbus School,KG-02,640 Lake Ave,Lyndhurst NJ 07071-1207,201-896-2075,114,7.0,,
3,Bergen,2860,Lyndhurst Public School District,301,Community,PK-PK,862 Valley Brook Avenue,Lyndhurst NJ 07071-2252,201-507-0938,52,7.7,,
3,Bergen,2860,Lyndhurst Public School District,70,Franklin School,KG-02,360 Stuyvesant Ave,Lyndhurst NJ 07071-2122,201-896-2077,195,6.2,,
3,Bergen,2860,Lyndhurst Public School District,80,Jefferson School,03-05,336 Lake Ave.,Lyndhurst NJ 07071-1416,201-896-2065,244,6.1,56.9,45.8
3,Bergen,2860,Lyndhurst Public School District,50,Lyndhurst High School,09-12,400 Weart Avenue,Lyndhurst NJ 07071,201-896-2100,826,2.6,73.9,35.4
3,Bergen,2860,Lyndhurst Public School District,302,Lyndhurst Middle School,06-08,625 Page Avenue,Lyndhurst NJ 07071,201-438-5683,622,2.9,57.1,32.6
3,Bergen,2860,Lyndhurst Public School District,300,Memorial School,KG-02,319 New York Avenue,Lyndhurst NJ 07071,201-438-6390,105,1.0,,
3,Bergen,2860,Lyndhurst Public School District,110,Roosevelt School,03-05,530 Stuyvesant Ave,Lyndhurst NJ 07071-2628,201-896-2068,297,2.0,53.6,38.1
3,Bergen,2860,Lyndhurst Public School District,120,Washington School,PK-02,709 Ridge Rd,Lyndhurst NJ 07071-3215,201-896-2072,172,4.1,,
3,Bergen,2900,Mahwah Township Public School District,60,Betsy Ross Elementary,KG-03,20 Malcolm Rd,Mahwah NJ 07430-1822,201-762-2250,249,14.9,77.3,76.1
3,Bergen,2900,Mahwah Township Public School District,80,George Washington School,KG-03,39 Fardale Avenue,Mahwah NJ 07430,201-762-2242,183,19.7,69.4,81.6
3,Bergen,2900,Mahwah Township Public School District,75,Joyce Kilmer School,04-05,80 Ridge Road,Mahwah NJ 07430,201-762-2270,405,17.8,76.6,65.9
3,Bergen,2900,Mahwah Township Public School District,65,Lenape Meadows,PK-03,160 Ridge Road,Mahwah NJ 07430,201-762-2260,440,18.6,50.0,65.7
3,Bergen,2900,Mahwah Township Public School District,50,Mahwah High School,09-12,50 Ridge Road,Mahwah NJ 07430,201-762-2300,871,12.7,73.7,51.8
3,Bergen,2900,Mahwah Township Public School District,76,Ramapo Ridge,06-08,150 Ridge Road,Mahwah NJ 07430,201-762-2380,634,17.4,71.2,55.8
3,Bergen,3060,Maywood School District,60,Maywood Avenue School,PK-08,452 Maywood Ave,Maywood NJ 07607-1969,201-845-9114,545,15.6,70.3,60.8
3,Bergen,3060,Maywood School District,70,Memorial School,PK-03,764 Grant Ave,Maywood NJ 07607-1621,201-845-9113,441,17.5,64.8,74.3
3,Bergen,3170,Midland Park School District,300,Godwin Elementary School,PK-02,41 E. Center Street,Midland Park NJ 07432,201-445-5350,245,2.9,,
3,Bergen,3170,Midland Park School District,70,Highland Elementary School,03-06,31 Highland Ave,Midland Park NJ 07432-1803,201-445-3880,287,2.8,77.3,58.2
3,Bergen,3170,Midland Park School District,50,Midland Park Jr./Sr. High School,07-12,250 Prospect St,Midland Park NJ 07432,201-444-7400,353,1.4,82.5,51.3
3,Bergen,3330,Montvale Board of Education School District,20,Fieldstone Middle School,05-08,47 Spring Valley Road,Montvale NJ 07645,201-391-9000,455,20.0,80.5,59.8
3,Bergen,3330,Montvale Board of Education School District,30,Memorial Elementary School,PK-04,53 Grand Avenue West,Montvale NJ 07645,201-391-2900,538,21.7,68.1,76.6
3,Bergen,3350,Moonachie School District,60,Robert L. Craig School,PK-08,20 West Park Street,Moonachie NJ 07074-1115,201-641-5833,367,11.4,74.5,55.3
3,Bergen,3550,New Milford Public School District,60,Berkley Street School,KG-05,812 Berkley Street,New Milford NJ 07646,201-262-0191,418,20.8,72.2,62.2
3,Bergen,3550,New Milford Public School District,70,Bertrand F. Gibbs Elementary School,PK-05,195 Sutton Place,New Milford NJ 07646,201-261-0939,506,15.2,72.0,61.0
3,Bergen,3550,New Milford Public School District,85,David E. Owens Middle School,PK-08,470 Marion Avenue,New Milford NJ 07646,201-265-8661,519,17.1,70.2,48.6
3,Bergen,3550,New Milford Public School District,50,New Milford High School,09-12,330 River Road,New Milford NJ 07646,201-262-0172,578,12.8,68.3,54.5
3,Bergen,3600,North Arlington School District,70,Franklin D Roosevelt Elementary School,PK-05,50 Webster Street,North Arlington NJ 07031,201-991-6800,160,5.6,60.6,45.7
3,Bergen,3600,North Arlington School District,80,George Washington Elementary School,PK-05,175 Albert Street,North Arlington NJ 07031,201-991-6800,331,1.8,50.8,41.0
3,Bergen,3600,North Arlington School District,50,North Arlington High School,PK-12,222 Ridge Road,North Arlington NJ 07031,201-991-6800,636,3.1,61.5,37.3
3,Bergen,3600,North Arlington School District,300,Susan B. Anthony Elementary School,PK-05,45 Beech Street,North Arlington NJ 07031,201-991-6800,310,9.0,65.7,44.6
3,Bergen,3600,North Arlington School District,60,Thomas Jefferson Elementary School,KG-05,100 Prospect Avenue,North Arlington NJ 07031,201-991-6800,169,3.0,74.3,58.1
3,Bergen,3600,North Arlington School District,90,Veterans Middle School,06-08,191 Rutherford Place,North Arlington NJ 07031,201-991-6800,458,2.4,59.0,34.0
3,Bergen,3700,Northern Highlands Regional High School District,50,Northern Highlands Regional High School,09-12,298 Hillside Ave,Allendale NJ 07401-1447,201-327-8700,1262,16.0,89.7,74.9
